game_id,gameday,weekday,home_team,away_team,away_rest,home_rest,spread_line,total_line,home_ranking,away_ranking,starting_home_qb,starting_away_qb,unregressed,regressed_number,spread vs regressed
2023_16_NO_LA,12/21/2023,Thursday,LA,NO,4,4,4,45.5,-0.309454871,-0.204223221,M.Stafford,D.Carr,1.551594918,2.775797459,-1.224202541
2023_16_CIN_PIT,12/23/2023,Saturday,PIT,CIN,7,7,-3,39.5,1.339571127,5.241853069,M.Rudolph,J.Browning,-2.245455373,-2.622727687,0.377272313
2023_16_BUF_LAC,12/23/2023,Saturday,LAC,BUF,6,9,-13,44.5,5.039881983,-0.540803262,E.Stick,J.Allen,7.237511813,-2.881244093,10.11875591
2023_16_IND_ATL,12/24/2023,Sunday,ATL,IND,8,7,3,44,-4.373654586,1.999391211,T.Heinicke,G.Minshew,-4.716219228,-0.858109614,-3.858109614
2023_16_GB_CAR,12/24/2023,Sunday,CAR,GB,7,7,-3.5,39.5,-0.373641877,3.521093069,B.Young,J.Love,-2.237908377,-2.868954189,0.631045811
2023_16_CLE_HOU,12/24/2023,Sunday,HOU,CLE,7,7,-3,40,-1.020210457,-2.954346547,C.Keenum,J.Flacco,3.590962658,0.295481329,3.295481329
2023_16_DET_MIN,12/24/2023,Sunday,MIN,DET,8,8,-2.5,47.5,0.695619293,-1.382986421,N.Mullens,J.Goff,3.735432283,0.617716141,3.117716141
2023_16_WAS_NYJ,12/24/2023,Sunday,NYJ,WAS,7,7,3,36.5,1.841096786,-5.035386169,T.Siemian,S.Howell,8.533309524,5.766654762,2.766654762
2023_16_SEA_TEN,12/24/2023,Sunday,TEN,SEA,6,7,-3,42,-0.14155101,-2.761020033,R.Tannehill,G.Smith,4.27629559,0.638147795,3.638147795
2023_16_JAX_TB,12/24/2023,Sunday,TB,JAX,7,7,-2,43,2.88811257,2.836917148,B.Mayfield,T.Lawrence,1.708021991,-0.145989005,1.854010995
2023_16_ARI_CHI,12/24/2023,Sunday,CHI,ARI,7,7,4.5,42,-4.037163572,5.628081188,J.Fields,K.Murray,-8.008418192,-1.754209096,-6.254209096
2023_16_DAL_MIA,12/24/2023,Sunday,MIA,DAL,7,7,1.5,48.5,-1.232781302,3.71453698,T.Tagovailoa,D.Prescott,-3.290491714,-0.895245857,-2.395245857
2023_16_NE_DEN,12/24/2023,Sunday,DEN,NE,7,8,7,37.5,-1.64321527,0.539772376,R.Wilson,B.Zappe,-0.526161078,3.236919461,-3.763080539
